['GVVVIVLAV', '1.251\r\n']
['IEPHLVVVA', '1.182\r\n']
['IFLSVIVIA', '1.182\r\n']
['LKLAVPLAV', '1.182\r\n']
['LIPVIVEVS', '1.181\r\n']
['LVICAIFAP', '1.181\r\n']
['FVVALIAFI', '1.181\r\n']
['FVFYWACVI', '1.181\r\n']
['LHVVLGEIV', '1.181\r\n']
['ALIAIALLV', '1.181\r\n']
['VSVAHVEAV', '1.181\r\n']
['AVYLAVGVA', '1.181\r\n']
['FILGLCIAV', '1.181\r\n']
['FFLLLADVV', '1.181\r\n']
['VLAVFIGCS', '1.18\r\n']
['LYVGIVLIS', '1.18\r\n']
['VVIILAYAS', '1.18\r\n']
['ALSAVIAVL', '1.18\r\n']
['AFLCVIGVS', '1.18\r\n']
['LHLGVVGLL', '1.18\r\n']
['NAIYPVLVV', '1.18\r\n']
['VQKPLAIVV', '1.18\r\n']
['LGLQIVLAV', '1.18\r\n']
['FSLVVSFVS', '1.18\r\n']
['ALASVIALV', '1.18\r\n']
['AVSILVAKV', '1.18\r\n']
['LSVIVIAIA', '1.179\r\n']
['YLVGLFVIA', '1.179\r\n']
['LVFALIAHL', '1.179\r\n']
['VLGAFLLVA', '1.179\r\n']
['LVGVVIYQS', '1.179\r\n']
['AIVVLGGLV', '1.179\r\n']
['LSSVVVGLA', '1.179\r\n']
['SKGLVVVSV', '1.179\r\n']
['GLFIVLPVI', '1.178\r\n']
['SVVALAITV', '1.178\r\n']
['YVWLVALIA', '1.178\r\n']
['VAIPFALVI', '1.178\r\n']
['VLVIDPGLV', '1.178\r\n']
['VAIVFAQVA', '1.178\r\n']
['SVIALVHDV', '1.178\r\n']
['LQIVFASLV', '1.178\r\n']
['VLVANIMVV', '1.178\r\n']
['SVLIAGPCV', '1.177\r\n']
['FSVVLILPS', '1.177\r\n']
['SVLGVACIA', '1.177\r\n']
['VLVSFIGAV', '1.177\r\n']
['VLVSFIGAV', '1.177\r\n']
['TIVGLVGVV', '1.177\r\n']
['LLYALVHAA', '1.177\r\n']
['LLIALPALL', '1.177\r\n']
['FLAVMAIVV', '1.177\r\n']
['FVGILVSAV', '1.177\r\n']
['LCQGLALVF', '1.177\r\n']
['VDVIVGNVV', '1.176\r\n']
['LLAILIAQV', '1.176\r\n']
['VFHPIVLLT', '1.176\r\n']
['VLICGVGGV', '1.176\r\n']
['LAVALGVLA', '1.176\r\n']
['ILVYVPGAL', '1.176\r\n']
['YLYYCPYIA', '1.176\r\n']
['FIGIVVAFV', '1.175\r\n']
['SKVVLVYAS', '1.175\r\n']
['LAGLVVGLL', '1.175\r\n']
['SVLGHTLCV', '1.175\r\n']
['VGYVVAHIP', '1.174\r\n']
['PLFIALLVA', '1.174\r\n']
['VLYYEAYIV', '1.174\r\n']
['LILGLGIVV', '1.174\r\n']
['ILILGVGVL', '1.174\r\n']
['IIQVIVASL', '1.174\r\n']
['IVVAVLGPS', '1.174\r\n']
['LVLAVASIS', '1.174\r\n']
['HIVKIVAVS', '1.174\r\n']
['LSPAQVVVQ', '1.174\r\n']
['IQAKVIHVV', '1.174\r\n']
['YHAKFVVVA', '1.174\r\n']
['PHLAIVAFV', '1.173\r\n']
['ISVGIVPVI', '1.173\r\n']
['LVHLIVGVN', '1.173\r\n']
['LKTPGVVVV', '1.173\r\n']
['VSVLLAGFL', '1.173\r\n']
['VRLNAAVVV', '1.173\r\n']
['YLIGVCGVP', '1.173\r\n']
['LCVALNHAL', '1.173\r\n']
['VLGISVGVL', '1.173\r\n']
['IYCGLCAEV', '1.173\r\n']
['VSSVYVNAV', '1.173\r\n']
['FVVGFSLVF', '1.173\r\n']
['ASVAIVVFS', '1.172\r\n']
['YFLAIVFLH', '1.172\r\n']
['YFLAIVFLH', '1.172\r\n']
['LLFVIIGSV', '1.172\r\n']
['YCFIGVYAL', '1.172\r\n']
['VSAFVIQVA', '1.172\r\n']
['VFLITLAVA', '1.172\r\n']
['FKEHVVVCS', '1.172\r\n']
['SVCHRAYVI', '1.172\r\n']
['FRIVFVSCI', '1.172\r\n']
['VVFGLPLGV', '1.172\r\n']
['IAFSVAILV', '1.172\r\n']
['LVVATPPCQ', '1.172\r\n']
['SVFVPSVIA', '1.172\r\n']
['ILASGIVCL', '1.172\r\n']
['ICIVWVFAS', '1.171\r\n']
['YLALIIGVL', '1.171\r\n']
['LYLALIIGV', '1.171\r\n']
['CLGYEVAVY', '1.171\r\n']
['IVCECARVS', '1.171\r\n']
['LHLILPLAI', '1.171\r\n']
['SAVHHVFSV', '1.171\r\n']
['ILVLGPLLA', '1.171\r\n']
['WLGIVIAVV', '1.17\r\n']
['LAIIIVPLP', '1.17\r\n']
['VHFAIALCS', '1.17\r\n']
['GTILVIVCS', '1.17\r\n']
['YVLGAVGVY', '1.17\r\n']
['VHIEVQGVV', '1.17\r\n']
['GLLAVALVS', '1.17\r\n']
['LLYGVVPAH', '1.17\r\n']
['VSLALVGAL', '1.17\r\n']
['VASLVAFCG', '1.17\r\n']
['SFGICPIVV', '1.169\r\n']
['SFGICPIVV', '1.169\r\n']
['LLAIVLSIS', '1.169\r\n']
['LLAIVLSIS', '1.169\r\n']
['GVALGVVLA', '1.169\r\n']
['YVFLAALLS', '1.169\r\n']
['VYYGCALIP', '1.169\r\n']
['ISCPCAFAL', '1.169\r\n']
['VVFYGLPAL', '1.169\r\n']
['VYALLGTLV', '1.169\r\n']
['HLAFIIPLV', '1.168\r\n']
['VVLPIITIA', '1.168\r\n']
['IGGIVVAVL', '1.168\r\n']
['VFGLIAALV', '1.168\r\n']
['AKVLGAICV', '1.168\r\n']
['HVFLLPIAI', '1.168\r\n']
['HVFLLPIAI', '1.168\r\n']
['FIVFCAPVG', '1.168\r\n']
['MIGLVVVLS', '1.168\r\n']
['SVSALLFVA', '1.168\r\n']
['ICAIFAPLL', '1.167\r\n']
['FLYFLVAIP', '1.167\r\n']
['VVPLAVGFS', '1.167\r\n']
['DLVVVATLS', '1.167\r\n']
['VFAVLGVAS', '1.167\r\n']
['VESCIPCIA', '1.167\r\n']
['IYVCGPTVY', '1.167\r\n']
['FLASIPVHV', '1.167\r\n']
['LFGVLVVSG', '1.167\r\n']
['SSVAVGSVV', '1.167\r\n']
['FSLLVITAV', '1.166\r\n']
['LFVAVADVS', '1.166\r\n']
['VFCAPVGAY', '1.166\r\n']
['KCVVLASIT', '1.166\r\n']
['LYYAKIVVS', '1.166\r\n']
['FYAVVLGWV', '1.165\r\n']
['VVAIGALLA', '1.165\r\n']
['FSFLVAFLL', '1.165\r\n']
['PLGVLAVIA', '1.165\r\n']
['VALIAALLS', '1.165\r\n']
['VLIGFLACS', '1.165\r\n']
['FGLVVVDGV', '1.165\r\n']
['PVVGIPLPL', '1.165\r\n']
['PIPAAAVLV', '1.165\r\n']
['LLGILVQAL', '1.165\r\n']
['VLFCVNGAL', '1.165\r\n']
['LLMAYVHVA', '1.165\r\n']
['ALYALACAI', '1.165\r\n']
['SVLIKAVAL', '1.165\r\n']
['VKYSIVLAI', '1.165\r\n']
['YISHLPHVL', '1.165\r\n']
['LVIGIVGLY', '1.164\r\n']
['SLYLFIALL', '1.164\r\n']
['VMALRVVLA', '1.164\r\n']
['HVLGYVGVA', '1.164\r\n']
['NHAVLVAPV', '1.164\r\n']
['SKELGVVCV', '1.164\r\n']
['QIGHLVPVL', '1.164\r\n']
['LFGVLALLA', '1.164\r\n']
['GVGVLTCVS', '1.164\r\n']
['ILYNLVLGV', '1.164\r\n']
['LQISPIVPV', '1.164\r\n']
['SLGVLVASL', '1.164\r\n']
['KVFLIVAIA', '1.163\r\n']
['LAFIIPLVA', '1.163\r\n']
['VSVVAAGII', '1.163\r\n']
['IVFIGALLL', '1.163\r\n']
['TLYVIAISV', '1.163\r\n']
['FLLALILIS', '1.163\r\n']
['ALSAVITVL', '1.163\r\n']
['GVSLVIGIV', '1.163\r\n']
['NLVGVVLIS', '1.163\r\n']
['GIVGVVLIS', '1.163\r\n']
['YKVAPVVFS', '1.163\r\n']
['FLIGLALIV', '1.163\r\n']
['VQLGAILCA', '1.163\r\n']
['FALAVVHPA', '1.163\r\n']
['IVSVVAAGI', '1.163\r\n']
['LDSAVVGVL', '1.163\r\n']
['VVFGVLPGY', '1.163\r\n']
['AIGYHVACL', '1.163\r\n']
['FLLLLNAIV', '1.163\r\n']
['VFVALIKIA', '1.163\r\n']
['VFGVLPGYV', '1.163\r\n']
['LACDLALLA', '1.163\r\n']
['VVYGPLACG', '1.163\r\n']
['GVVYGVQVS', '1.163\r\n']
['FLIVAIAII', '1.162\r\n']
['LSVGVAFIL', '1.162\r\n']
['VLAIVGGCA', '1.162\r\n']
['LVLSWVAAY', '1.162\r\n']
['VAFVDVPYA', '1.162\r\n']
['GFLVVILSA', '1.162\r\n']
['LLYAYGVPL', '1.162\r\n']
['HAYVFVLSS', '1.162\r\n']
['TQSLVVGVL', '1.162\r\n']
['FSSLVVALS', '1.162\r\n']
['EYVVKIPIV', '1.162\r\n']
['FLASGVILV', '1.162\r\n']
['AAVPLAYYL', '1.162\r\n']
['YLVLGPLYA', '1.162\r\n']
['FLLAVAGFV', '1.161\r\n']
['FVVIIASAI', '1.161\r\n']
['LISACIGIV', '1.161\r\n']
['YLYHGVVAA', '1.161\r\n']
['CSCGHAFCA', '1.161\r\n']
['VDDVLVRAV', '1.161\r\n']
['FFLALVGVA', '1.161\r\n']
['PKLALVGLV', '1.161\r\n']
['LLFSVGFLL', '1.161\r\n']
['LVLGPLYAI', '1.161\r\n']
['AYAIVIALI', '1.16\r\n']
['ILLAFVAFF', '1.16\r\n']
['FVAILGAIC', '1.16\r\n']
['LSLILALIA', '1.16\r\n']
['VFATIVASV', '1.16\r\n']
['IAIGLVLLA', '1.16\r\n']
['GVLAGYPVV', '1.16\r\n']
['LWLNLVGVV', '1.16\r\n']
['FVSVVDPGV', '1.16\r\n']
['ELYLVGGCV', '1.16\r\n']
['LASVLPLIS', '1.16\r\n']
['PYVYLIPMV', '1.16\r\n']
['YHVLPNALV', '1.16\r\n']
['VAIAIIILA', '1.159\r\n']
['YAFILIALL', '1.159\r\n']
['VPGVIAGVL', '1.159\r\n']
['LVPGVIAGV', '1.159\r\n']
['VCLIEPGPV', '1.159\r\n']
['FVFYIAFQV', '1.159\r\n']
['IGLVIPHVA', '1.159\r\n']
['TSFLLAFVV', '1.159\r\n']
['GFFVVLTAV', '1.159\r\n']
['PLALLFAVS', '1.159\r\n']
['AVGVILPLS', '1.159\r\n']
['GVIALVALS', '1.159\r\n']
['LCYRLAHAL', '1.159\r\n']
['ISLAVALGV', '1.159\r\n']
['YAFLIASVL', '1.159\r\n']
['LTSACVFLA', '1.159\r\n']
['VLFLIASYA', '1.159\r\n']
['ALVISVPLG', '1.159\r\n']
['LVSAIIGIV', '1.158\r\n']
['FLLPIAIIL', '1.158\r\n']
['ILVAHAFLA', '1.158\r\n']
['KRVLFVAVA', '1.158\r\n']
['IGVVLAFAY', '1.158\r\n']
['VFALIAHLP', '1.158\r\n']
['WCVALAFLS', '1.158\r\n']
['LLFAPVVAG', '1.158\r\n']
['LSFGVALLL', '1.158\r\n']
['SFIALVLAI', '1.158\r\n']
['AVFLLAVAG', '1.158\r\n']
['VSLSIVAIS', '1.158\r\n']
['LVRLNAAVV', '1.158\r\n']
['ACLGVALPP', '1.158\r\n']
['IVIIYSLIS', '1.158\r\n']
['LFGVLPGVL', '1.158\r\n']
['LLISIVANV', '1.158\r\n']
['SVVAIISSL', '1.158\r\n']
['VKYSLIFVA', '1.158\r\n']
['YVLVPDNVI', '1.158\r\n']
['VCLGLPGAL', '1.158\r\n']
['LIVAVAHSS', '1.158\r\n']
['IIAILAMVV', '1.158\r\n']
['ALSAFVYSV', '1.158\r\n']
['VHIAFIPIL', '1.157\r\n']
['VAIIFVAPP', '1.157\r\n']
['ALFIPVIGV', '1.157\r\n']
['RVIVIVGAI', '1.157\r\n']
['FLVAIPFAL', '1.157\r\n']
['IIGGIVVAV', '1.157\r\n']
['VAIGDVVII', '1.157\r\n']
['ILTIGVVLA', '1.157\r\n']
['VSVGTILVA', '1.157\r\n']
['VFVAILGAI', '1.157\r\n']
['VLIALVFNA', '1.157\r\n']
['GIVLIVLAT', '1.157\r\n']
['PIFPGVLIV', '1.157\r\n']
['LSSVLIGCA', '1.157\r\n']
['YLAHATCAV', '1.157\r\n']
['SIELLAPVV', '1.157\r\n']
['LILGVISLF', '1.157\r\n']
['WLSALVALL', '1.157\r\n']
['FLVHVYSIG', '1.157\r\n']
['YFLLPLGVF', '1.157\r\n']
['TYHAKFVVV', '1.157\r\n']
['AFHVIAVIS', '1.156\r\n']
['FKYAIVVIF', '1.156\r\n']
['SVRFIAPVV', '1.156\r\n']
['VAEAVAFLL', '1.156\r\n']
['SFVVIGGLV', '1.156\r\n']
['LFSVLIGVS', '1.156\r\n']
['VAFELPVLA', '1.156\r\n']
['DVIVIASVS', '1.156\r\n']
['GFAVIASVV', '1.156\r\n']
['VFTFFSPVV', '1.156\r\n']
['IFYTPLVVS', '1.156\r\n']
['YRLYYVRYV', '1.156\r\n']
['AFLLVAGCS', '1.156\r\n']
['KVSAVVESV', '1.156\r\n']
['GVVLLISFS', '1.156\r\n']
['GFVVYYGCA', '1.156\r\n']
['VVEAKVIGV', '1.156\r\n']
['VVEAKVIGV', '1.156\r\n']
['PRVVEVPVS', '1.155\r\n']
['VVEALINVI', '1.155\r\n']
['GFILFVPVH', '1.155\r\n']
['CLVYGVGIT', '1.155\r\n']
['SIFGLVVVD', '1.155\r\n']
['FVFGLAGVV', '1.155\r\n']
['VLGEHSIVV', '1.155\r\n']
['GLHLIACCG', '1.155\r\n']
['VRVLEGVSV', '1.155\r\n']
['ISALPAVLI', '1.155\r\n']
['WLLAPLCIA', '1.155\r\n']
['IVLDPVGCS', '1.155\r\n']
['VIFALTSIV', '1.155\r\n']
['ELLCLAGVA', '1.155\r\n']
['IFLIGVFVS', '1.154\r\n']
['CVLGVAWLG', '1.154\r\n']
['LQLIGALIV', '1.154\r\n']
['LLGVFAYAL', '1.154\r\n']
['PKNAIVLVV', '1.154\r\n']
['YGYLFALIV', '1.154\r\n']
['FFSFLIALV', '1.154\r\n']
['QLVCITGVS', '1.154\r\n']
['YLFYFALLA', '1.154\r\n']
['LSAFYVYLS', '1.154\r\n']
['YVGAVIVMY', '1.154\r\n']
['VISAIAYLI', '1.154\r\n']
['CGFLIASVI', '1.154\r\n']
['SLLALVLAD', '1.154\r\n']
['GIFATLLCV', '1.154\r\n']
['ALYACLRAL', '1.154\r\n']
['DRKLVVALV', '1.154\r\n']
['FCACVGIKA', '1.154\r\n']
['SSVILSALL', '1.154\r\n']
['VLALIIAIT', '1.153\r\n']
['LLGVIAFLA', '1.153\r\n']
['GLLLIFAAV', '1.153\r\n']
['CLLEAAELV', '1.153\r\n']
['LSVLIAYFS', '1.153\r\n']
['IVNILAPIV', '1.153\r\n']
['LPFLIAHLI', '1.153\r\n']
['YQWAVALVY', '1.153\r\n']
['PYIAFVLMV', '1.153\r\n']
['VRGAVVLPH', '1.153\r\n']
['LFVALALNL', '1.153\r\n']
['SGVTLVPLL', '1.153\r\n']
['PLAVCAGLS', '1.153\r\n']
['FFVVFASLS', '1.153\r\n']
['IVVGDILKV', '1.153\r\n']
['LCSCEGALL', '1.153\r\n']
['FMLLYALVH', '1.153\r\n']
['FVSAFLASC', '1.153\r\n']
['VVAILMGVA', '1.153\r\n']
['ASLLLAACS', '1.153\r\n']
['SGALILSVV', '1.153\r\n']
['SVVIIVANA', '1.152\r\n']
['FLIAFIACF', '1.152\r\n']
['AIVAFVAIS', '1.152\r\n']
['LAFLIVGII', '1.152\r\n']
['LLSVFPIIS', '1.152\r\n']
['VHAGFVLIA', '1.152\r\n']
['HLYIIVASF', '1.152\r\n']
['WLVALIAAL', '1.152\r\n']
['VVPRLAFGV', '1.152\r\n']
['VGGVLVAFA', '1.152\r\n']
['SVAALVGFL', '1.152\r\n']
['IKLLIVACN', '1.152\r\n']
['FLRACAEVV', '1.152\r\n']
['VLFVLAGYT', '1.152\r\n']
['FIVLPGILI', '1.152\r\n']
['IVSNIVPVA', '1.152\r\n']
['PVGSFIYVL', '1.152\r\n']
['AVQAVITSV', '1.152\r\n']
['FLLIVISSA', '1.152\r\n']
['LDRSVVAIV', '1.152\r\n']
['LVAVFSALG', '1.152\r\n']
['FLIVAVMAI', '1.152\r\n']
['AVLGVASFL', '1.152\r\n']
['GAGLLVGCV', '1.152\r\n']
['PYVPLAYPY', '1.152\r\n']
['FTVIIVWVS', '1.151\r\n']
['YGVVLIFIT', '1.151\r\n']
['VSFLPIFAL', '1.151\r\n']
['FIGGVVAIV', '1.151\r\n']
['FSFLIALVA', '1.151\r\n']
['VLAFVLDAS', '1.151\r\n']
['IDGVRVAVV', '1.151\r\n']
['SLVLEVAAH', '1.151\r\n']
['PALPVIALA', '1.151\r\n']
['QAGVDVVVS', '1.151\r\n']
['CYVGPFGLL', '1.151\r\n']
['LYRVLAYIP', '1.151\r\n']
['IHVDLLAVT', '1.151\r\n']
['LLLGLILQA', '1.151\r\n']
['ALGALALYV', '1.151\r\n']
['ILVEQALVS', '1.151\r\n']
['QSSLLIGCV', '1.151\r\n']
['LLGLILQAL', '1.151\r\n']
['LVCGLLDAS', '1.151\r\n']
['FSLFVSHYL', '1.151\r\n']
['VMVSIVGCK', '1.151\r\n']
['ILDAICSVP', '1.151\r\n']
['LALFIALYA', '1.15\r\n']
['FVFAIAGLV', '1.15\r\n']
['FIVGFAVAL', '1.15\r\n']
['PKLAVILVG', '1.15\r\n']
['FDVIVANLV', '1.15\r\n']
['LVFLFAALT', '1.15\r\n']
['VQLAYAIGV', '1.15\r\n']
['VVLVIGESA', '1.15\r\n']
['IACLGAFVA', '1.15\r\n']
['IMSGFVVLV', '1.15\r\n']
['VVHHEVAQA', '1.15\r\n']
['YKVYGAVVS', '1.15\r\n']
['LLGALAVAI', '1.15\r\n']
['LYHIPIKVI', '1.15\r\n']
['LPIVEGSVV', '1.15\r\n']
['CAEVCPELA', '1.15\r\n']
['VMGCVVNAL', '1.15\r\n']
['VMGCVVNAL', '1.15\r\n']
['VLGLLAGLI', '1.15\r\n']
['FSVGFLLSV', '1.15\r\n']
['LVWGLCSWV', '1.15\r\n']
['LAFIFVFAI', '1.149\r\n']
['LYYAFILIA', '1.149\r\n']
['AFLALAIIL', '1.149\r\n']
['SSIVLIALA', '1.149\r\n']
['WLGVCAIAL', '1.149\r\n']
['FLHVVLGEI', '1.149\r\n']
['FFVLGAFLL', '1.149\r\n']
['ISFILGLCI', '1.149\r\n']
['AVEAVDACL', '1.149\r\n']
['VYLAGAVLT', '1.149\r\n']
['AWLVTVPVS', '1.149\r\n']
['LLHGIALSV', '1.149\r\n']
['TLLYGVVPA', '1.149\r\n']
['SLCDGVISV', '1.149\r\n']
['ICYPVISIE', '1.149\r\n']
['IKILAILSV', '1.149\r\n']
['SLVSLAWVF', '1.149\r\n']
['WCLLVALNP', '1.149\r\n']
['GYAIKVVVS', '1.149\r\n']
['YVSALVNAL', '1.149\r\n']
['FIVHSVAFA', '1.149\r\n']
['FIVHSVAFA', '1.149\r\n']
['YLFIFTTVV', '1.148\r\n']
['TVFIVGFAV', '1.148\r\n']
['LSAVFAILA', '1.148\r\n']
['VDFFGGVVV', '1.148\r\n']
['VLNAIVGVA', '1.148\r\n']
['GHLLIIPHV', '1.148\r\n']
['YVGIVIASI', '1.148\r\n']
['CFAGHIDVV', '1.148\r\n']
['VVVDFAHTI', '1.148\r\n']
['CLEAVFPAI', '1.148\r\n']
['GVLTVIAPL', '1.148\r\n']
['LLTIPVALS', '1.148\r\n']
['ALLLVPEIA', '1.148\r\n']
['TLILVAARV', '1.148\r\n']
['QILGLVGIV', '1.148\r\n']
['SKIPVVGVI', '1.148\r\n']
['SLLLTIPVA', '1.148\r\n']
['YLVLPVGFG', '1.148\r\n']
['LSGILISLV', '1.148\r\n']
['LYVVFGHKI', '1.148\r\n']
['YVGLLGTVL', '1.148\r\n']
['LVAISVGAI', '1.148\r\n']
['VLLTLALAT', '1.148\r\n']
['IQIISVLAI', '1.148\r\n']
['VVAVGASIQ', '1.148\r\n']
['YLELLALGV', '1.148\r\n']
['VLQGLLNIV', '1.148\r\n']
['YYIYVSEVA', '1.148\r\n']
['LVNGLPLVH', '1.148\r\n']
['VLSALGLVD', '1.148\r\n']
['FCVLLNVNS', '1.148\r\n']
['FIVGFGVFV', '1.147\r\n']
['IALLFIHGV', '1.147\r\n']
['VAIGFALAV', '1.147\r\n']
['LGAVFVGLI', '1.147\r\n']
['IVSAIALIF', '1.147\r\n']
